Year,formate,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
2011,test,9,202,473,9,22.4,42.7,63,2,0,15,2,72.1
2012,test,16,689,"1,474",14,49.2,46.7,116,3,3,89,2,77.9
2013,test,12,616,"1,127",11,56,54.7,119,3,2,73,2,70.9
2014,test,20,847,"1,399",19,44.6,60.5,169,2,4,101,2,69.4
2015,test,15,640,"1,184",15,42.7,54.1,147,2,2,74,1,72
2016,test,18,"1,215","2,011",16,75.9,60.4,235,2,4,134,2,65.1
2017,test,16,"1,059","1,389",14,75.6,76.2,243,1,5,98,6,54.2
2018,test,24,"1,307","2,414",24,54.5,54.1,153,5,5,142,2,70.5
2019,test,11,608,967,9,67.6,62.9,254,2,2,78,3,68.4
2020,test,6,116,283,6,19.3,41,74,1,0,15,0,79.9
2021,test,19,536,"1,216",19,28.2,44.1,72,4,0,60,1,77.1
2022,test,11,265,672,10,26.5,39.4,79,1,0,33,1,79.2
2023,test,12,671,"1,226",12,55.9,54.7,186,2,2,70,1,68.6
2008,ODI,5,159,239,5,31.8,66.5,54,1,0,21,1,71.5
2009,ODI,8,325,385,6,54.2,84.4,107,2,1,36,3,51.7
2010,ODI,23,995,"1,169",20,49.8,85.1,118,7,3,90,4,48.3
2011,ODI,34,"1,381","1,614",29,47.6,85.6,117,8,4,127,7,46.8
2012,ODI,17,"1,026","1,094",15,68.4,93.8,183,3,5,92,7,43.6
2013,ODI,30,"1,268","1,300",24,52.8,97.5,115,7,4,138,20,48.1
2014,ODI,20,"1,054","1,058",18,58.6,99.6,139,5,4,94,20,43.6
2015,ODI,20,623,773,17,36.6,80.6,138,1,2,44,8,49
2016,ODI,10,739,739,8,92.4,100,154,4,3,62,8,40.2
2017,ODI,26,"1,460","1,473",19,76.8,99.1,131,7,6,136,22,42.8
2018,ODI,14,"1,202","1,172",9,133.6,102.6,160,3,6,123,13,41.7
2019,ODI,25,"1,377","1,429",23,59.9,96.4,123,7,5,133,8,41.8
2020,ODI,9,431,467,9,47.9,92.3,89,5,0,35,5,41.1
2021,ODI,3,129,149,3,43,86.6,66,2,0,10,1,41.6
2022,ODI,11,302,347,11,27.5,87,113,2,1,32,2,48.1
2023,ODI,24,"1,377","1,389",19,72.5,99.1,166,8,6,122,24,42
2010,T20I,1,26,21,0,-,123.8,26,0,0,3,1,42.9
2011,T20I,4,61,52,4,15.2,117.3,28,0,0,10,0,42.3
2012,T20I,13,471,355,12,39.2,132.7,78,4,0,57,7,30.7
2013,T20I,1,29,22,1,29,131.8,29,0,0,2,1,31.8
2014,T20I,7,385,288,4,96.2,133.7,77,5,0,33,11,26.7
2015,T20I,2,44,28,2,22,157.1,43,0,0,1,3,7.1
2016,T20I,13,641,457,6,106.8,140.3,90,7,0,70,9,29.1
2017,T20I,10,299,196,8,37.4,152.6,82,2,0,32,8,24.5
2018,T20I,9,211,173,7,30.1,122,61,1,0,10,8,33.5
2019,T20I,10,466,315,6,77.7,147.9,94,5,0,29,23,24.4
2020,T20I,9,295,208,8,36.9,141.8,85,1,0,18,10,20.7
2021,T20I,8,299,225,4,74.8,132.9,80,4,0,25,10,30.2
2022,T20I,20,781,565,14,55.8,138.2,122,8,1,66,26,29
